uid,sid
11,0
17,1
7,2
9,3
15,4
6,5
10,6
8,7
1,8
19,9
47,10
26,11
52,12
21,13
37,14
39,15
43,16
32,17
18,18
53,19
55,20
28,21
36,22
40,23
57,24
20,25
35,26
56,27
65,28
66,29
72,30
58,31
76,32
61,33
70,34
68,35
80,36
79,37
69,38
84,39
73,40
82,41
75,42
83,43
85,44
74,45
86,46
78,47
87,48
90,49
88,50
91,51
97,52
100,53
92,54
98,55
104,56
108,57
109,58
110,59
112,60
101,61
114,62
117,63
116,64
115,65
120,66
119,67
129,68
124,69
143,70
125,71
135,72
131,73
142,74
134,75
132,76
126,77
144,78
145,79
147,80
146,81
151,82
152,83
153,84
154,85
159,86
167,87
165,88
166,89
169,90
172,91
170,92
176,93
177,94
168,95
180,96
178,97
181,98
183,99
186,100
185,101
188,102
182,103
184,104
192,105
193,106
44,107
122,108
210,109
215,110
211,111
202,112
217,113
207,114
219,115
205,116
199,117
216,118
194,119
203,120
220,121
201,122
198,123
208,124
218,125
209,126
226,127
230,128
235,129
233,130
239,131
246,132
232,133
245,134
241,135
250,136
227,137
252,138
236,139
248,140
257,141
254,142
238,143
253,144
256,145
259,146
266,147
260,148
271,149
272,150
268,151
262,152
282,153
276,154
280,155
278,156
283,157
291,158
284,159
285,160
294,161
298,162
297,163
292,164
302,165
310,166
313,167
314,168
315,169
325,170
321,171
324,172
311,173
333,174
326,175
332,176
339,177
341,178
338,179
334,180
340,181
335,182
344,183
343,184
345,185
346,186
349,187
348,188
359,189
364,190
353,191
361,192
368,193
365,194
372,195
374,196
386,197
382,198
376,199
380,200
375,201
388,202
390,203
393,204
394,205
395,206
398,207
404,208
396,209
409,210
407,211
399,212
410,213
416,214
418,215
415,216
422,217
430,218
426,219
419,220
423,221
435,222
432,223
434,224
439,225
440,226
446,227
442,228
447,229
449,230
448,231
453,232
455,233
458,234
456,235
464,236
454,237
467,238
460,239
465,240
469,241
471,242
476,243
479,244
481,245
480,246
483,247
485,248
489,249
482,250
491,251
496,252
501,253
484,254
503,255
499,256
492,257
502,258
504,259
500,260
510,261
507,262
513,263
517,264
519,265
520,266
522,267
524,268
523,269
527,270
530,271
528,272
531,273
529,274
534,275
541,276
543,277
545,278
539,279
546,280
547,281
549,282
552,283
556,284
553,285
564,286
566,287
567,288
574,289
579,290
576,291
565,292
577,293
587,294
589,295
593,296
596,297
598,298
595,299
592,300
599,301
605,302
613,303
616,304
617,305
615,306
618,307
619,308
620,309
626,310
631,311
634,312
637,313
633,314
636,315
638,316
644,317
642,318
645,319
646,320
647,321
649,322
654,323
653,324
656,325
662,326
655,327
657,328
659,329
660,330
667,331
668,332
673,333
676,334
670,335
675,336
679,337
680,338
681,339
682,340
684,341
685,342
686,343
692,344
687,345
700,346
695,347
703,348
698,349
706,350
714,351
707,352
696,353
715,354
705,355
712,356
713,357
716,358
711,359
718,360
719,361
720,362
721,363
725,364
723,365
730,366
729,367
732,368
740,369
745,370
753,371
728,372
748,373
756,374
752,375
759,376
758,377
762,378
765,379
763,380
766,381
769,382
767,383
770,384
784,385
774,386
786,387
779,388
775,389
790,390
787,391
794,392
785,393
792,394
797,395
805,396
813,397
811,398
816,399
818,400
819,401
823,402
824,403
820,404
828,405
821,406
830,407
833,408
822,409
838,410
840,411
839,412
841,413
844,414
846,415
847,416
848,417
849,418
858,419
852,420
850,421
859,422
862,423
867,424
863,425
872,426
877,427
875,428
879,429
880,430
881,431
886,432
892,433
887,434
889,435
893,436
898,437
899,438
902,439
900,440
901,441
907,442
904,443
906,444
903,445
912,446
911,447
913,448
908,449
919,450
920,451
926,452
931,453
923,454
934,455
938,456
947,457
941,458
945,459
952,460
959,461
950,462
960,463
943,464
953,465
962,466
964,467
965,468
966,469
967,470
968,471
970,472
969,473
972,474
971,475
974,476
978,477
979,478
983,479
985,480
975,481
986,482
988,483
993,484
994,485
1000,486
1001,487
1002,488
1003,489
1004,490
1006,491
1005,492
1007,493
1010,494
1014,495
1011,496
1017,497
1019,498
1020,499
1023,500
1028,501
1025,502
1024,503
1029,504
1030,505
1034,506
1044,507
1040,508
1046,509
1050,510
1048,511
1051,512
1049,513
1053,514
1061,515
1060,516
1055,517
1066,518
1056,519
1075,520
1067,521
1079,522
1076,523
1081,524
1084,525
1086,526
1087,527
1088,528
1089,529
1095,530
1097,531
1092,532
1099,533
1098,534
1103,535
1104,536
1108,537
1093,538
1110,539
1112,540
1111,541
1107,542
1114,543
1115,544
1118,545
1122,546
1125,547
1127,548
1135,549
1124,550
1138,551
1143,552
1140,553
1139,554
1141,555
1142,556
1145,557
1148,558
1158,559
1157,560
1156,561
1159,562
1161,563
1162,564
1163,565
1166,566
1165,567
1168,568
1172,569
1170,570
1175,571
1179,572
1182,573
1174,574
1184,575
1183,576
1190,577
1178,578
1177,579
1176,580
1192,581
1193,582
1197,583
1200,584
1202,585
1201,586
1206,587
1208,588
1207,589
1213,590
1217,591
1209,592
1221,593
1224,594
1218,595
1227,596
1225,597
1222,598
1231,599
1235,600
1236,601
1239,602
1238,603
1240,604
1241,605
1255,606
1245,607
1252,608
1244,609
1257,610
1260,611
1267,612
1268,613
1262,614
1264,615
1269,616
1270,617
1272,618
1273,619
1278,620
1280,621
1281,622
1288,623
1282,624
1292,625
1286,626
1291,627
1289,628
1297,629
1294,630
1300,631
1304,632
1301,633
1302,634
1303,635
1306,636
1307,637
1309,638
1312,639
1315,640
1314,641
1316,642
1318,643
1319,644
1323,645
1325,646
1320,647
1327,648
1330,649
1337,650
1334,651
1339,652
1338,653
1332,654
1340,655
1342,656
1345,657
1348,658
1350,659
1352,660
1355,661
1351,662
1353,663
1363,664
1357,665
1360,666
1358,667
1371,668
1364,669
1374,670
1365,671
1368,672
1377,673
1378,674
1375,675
1381,676
1382,677
1387,678
1393,679
1390,680
1388,681
1395,682
1396,683
1407,684
1411,685
1408,686
1405,687
1416,688
1418,689
1422,690
1425,691
1412,692
1424,693
1427,694
1432,695
1433,696
1440,697
1438,698
1435,699
1444,700
1456,701
1455,702
1457,703
1447,704
1459,705
1462,706
1472,707
1463,708
1477,709
1476,710
1478,711
1481,712
1483,713
1485,714
1489,715
1488,716
1493,717
1490,718
1495,719
1496,720
1500,721
1506,722
1510,723
1507,724
1511,725
1508,726
1513,727
1514,728
1512,729
1516,730
1517,731
1518,732
1521,733
1523,734
1525,735
1531,736
1532,737
1528,738
1533,739
1529,740
1534,741
1540,742
1535,743
1543,744
1545,745
1546,746
1550,747
1549,748
1548,749
1551,750
1552,751
1554,752
1557,753
1560,754
1559,755
1564,756
1558,757
1556,758
1565,759
1562,760
1566,761
1568,762
1569,763
1573,764
1575,765
1576,766
1578,767
1583,768
1584,769
1580,770
1585,771
1586,772
1589,773
1592,774
1591,775
1596,776
1597,777
1598,778
1599,779
1601,780
1600,781
1604,782
1605,783
1610,784
1607,785
1606,786
1613,787
1612,788
1616,789
1615,790
